job_titles,skills
SAP TM Consultant,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
SAP TM Lead,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
SDE 3,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
SEO Trainee,Facebook Blueprint Certified|Microsoft Excel|Paid Social|Team Building
SITE SAFETY SUPERVISOR,BRD|CSS|Database|Django|FSD|Flask|HTML|JavaScript|Python|SQL|SRS|Testing
Sales Manager - Business Banking,Android|IOS|MS Office|Outlook|Windows
Sales Officer,C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
Senior AWS Cloud Architect,amazon ec2|amazon redshift|amazon route 53|amazon web services|ansible|apache maven|api|aws codepipeline|aws rds|aws vpc|centos|chef|cloud|cloud architecture|cloudwatch|configuration|continuous integration|dynamo db|elastic beanstalk|identity management|java|jenkins|linux|mysql|sdlc|software|sql|unix|unixshell scripts
Senior Business Development Executive,Customer handling|ERP systems|Internet|Microsoft Office|Team work|Time management
Senior Consultant-BlockChain,AEROSPIKE|AWS|Angular 5+|CSS|Circle CI|Core-java|DOCKER|Go testing Module|Golang|HTML|JS|Jenkins|KAFKA|Linux|MONGO DB|MySQL|NodeJS|PostgresSQL|REDIS|RedHat Ansible|Swagger
Senior Consultant-Golang,AEROSPIKE|AWS|Angular 5+|CSS|Circle CI|Core-java|DOCKER|Go testing Module|Golang|HTML|JS|Jenkins|KAFKA|Linux|MONGO DB|MySQL|NodeJS|PostgresSQL|REDIS|RedHat Ansible|Swagger
Senior HR Officer,C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
Senior Relationship Manager,Analytical skills|Effective communication|Leadership|MSCIT|Rational problem-solving|Sales planning|TALLY ERP 9|Time management
Senior Sales Officer,MS Office|Processing|Self-motivation|Teamwork|Underwriting
Senior Software Developer,AWS|Android|C++|Django|Elastic Search|Express|Firebase|GCP|GIT|Java|MongoDB|Node|PostgreSQL|Python|ReactJS|Redis
Senior Software Engineer,.NET Core|.NET Framework|ASP.NET|AWS|Allen Bradley|Android|Angular|Api integration|Azure Cloud|Azure DevOps|Bacnet|Bogus|C#|C++|CRUD|Data Structure|Debezium|Django|Docker|Elastic Search|Ember|Entity Framework|Express|FAST API|Firebase|Flink|GCP|GIT|Git|GitHub|Golang|GraphQL|HTML|JMeter|Java|JavaScript|KAFKA|Karate|Kubernetes|MS Access|MS SQL|MSTest|Microservices|Mitsubishi (MELSEC)|MongoDB|Moq|MySQL|NUnit|Node|Node.js|OPC DA|ORM|OpenAPI|Oracle RDBMS|PLCâ€™s protocols|PostgreSQL|Postman|Python|REST API|RabbitMQ|Razor Pages|ReactJS|Redis|Selenium|Siemens|Socket over TCP and UDP|Superset|Testcontainers|TypeScript|UNS|VBA|WPF|xUnit
"Senior Software Engineer , Senior Business Analyst",.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
Senior Systems Engineer,Cisco Routing & Switching|Data Center Management|Palo Alto / F5|Project Management|RHEL/CentOS 6/7|Storage & Virtualization|Systems & Network Security|Windows Server Platforms
Senior Unit Manager,Audit compliance|Bank liaisoning|Business Development|Customer Service|DC verification|Expense management|Internet|Leadership|MS Office|Marketing|Operations|Relationship management|Sales|Team Management
Senior software Engineer,AWS|Agile Software Development Methodology|Android app development|Cloud platform|DEVOPS tools|Docker|Elastic search|Google Cloud|J2EE|Java|Microservices|MongoDB|Rabbit MQ|Redis|Restful API|Springboot|TimestreamDB
Showroom Sales Exectuive (Business operations),Administration|Business Operations|Communication|Customer Service|Data Analysis|Logical Ability|MS SharePoint|Marketing|Microsoft Excel|Microsoft Outlook|Microsoft PPT|Microsoft Word|Persuasion|Project Management|Reasoning|Sales|Team Management|Time Management
Social Media Executive,Facebook Blueprint Certified|Microsoft Excel|Paid Social|Team Building
Software Developer,ADO.NET|AEROSPIKE|API|ASP.NET|ASP.NET Core|ASP.NET MVC|AWS|Ajax|Angular|Angular 5+|Backbone.js|Bootstrap|C#|CSS|CSS3|Circle CI|Continuous Delivery|Continuous Integration|Core-java|DOCKER|DevOps|Django|Docker|Dot net core|EJS|Elastic Search|Electron|Entity Framework|Express.js|Front End Developer|GCP Cloud|GIT|Git|Go lang|Go testing Module|Golang|Google Cloud Platforms|HBS|HTML|HTML5|IIS|JQX Widgets|JS|Jade|Java|Java Script|JavaScript|Javascript|Jenkins|Jest|KAFKA|Kubernetes|Laravel|Linux|MONGO DB|MSSQL|MVC-Core|Microsoft Azure|Mocha|MongoDB|MongoDb|MySQL|NestJS|NoSQL|Node.Js|NodeJS|Nunjucks|PHP|PostgreSQL|PostgresSQL|Postman|Python|REDIS|REST APIs|React JS|RedHat Ansible|Redis|Restful API|Rust|SQL|SQL Server|Selenium|Software Developer|Spring Boot|Swagger|TypeScript|Visual Studio|Visual Studio 2012|Visual Studio 2022|Web Services|jQuery
"Software Developer (Web) , Graduate Assistant",AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
"Software Developer , QA Engineer",Backbone.js|EJS|Electron|Express.js|Git|HBS|JQX Widgets|Jade|Java|JavaScript|Jest|Linux|Mocha|MongoDB|MySQL|NestJS|NoSQL|NodeJS|Nunjucks|PostgreSQL|Postman|REST APIs|SQL|Selenium|Spring Boot|TypeScript
"Software Developer , Technical Consultant",AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
Software Engineer,5G Foundation|AWS|Agile Methodology|Agile Software Development Methodology|Ajax|Allen Bradley|Android app development|AngularJS|Api integration|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Backbone.js|Bacnet|Bitbucket|C|C#|C++|CA7|CICS|COBOL|CRUD|CSS|Cloud Infrastructure|Cloud platform|DB2|DEVOPS tools|Data Structure|Debezium|Django|Docker|EJS|Elastic search|Elasticsearch|Electron|Entity Framework|Express.js|FAST API|Flink|Framer-motion|Git|Golang|Google Cloud|Grafana|GraphQL API|HBS|HTML|Informatica Cloud|Istio|J2EE|JCL|JQX Widgets|Jade|Java|JavaScript|Javascript|Jest|Json|KAFKA|Kubernetes|LINQ|Linux|MVC-5|Mainframe Functional Testing|Mainframe Technology|Microservices|Mitsubishi (MELSEC)|Mocha|MongoDB|MySQL|NGINX|NestJS|Next.js|NoSQL|Node.js|NodeJS|Nunjucks|OOPS|OPC DA|ORM|Oracle|PLCâ€™s protocols|PostgreSQL|Postman|Prometheus|Python|REST API|REST APIs|REST Api|Rabbit MQ|RabbitMQ|React|Redis|Redux|Restful API|SQL|SQL Server|SVN|Selenium|Siemens|Socket over TCP and UDP|Software Testing Life Cycle(STLC)|Spring Boot|Springboot|Supabase|Superset|Tailwind|TimestreamDB|Tivoli Workload Scheduler(TWS)|TypeScript|Typescript|UNIX|UNS|VSAM|VueJS|Web-Sockets|Webservices|jQuery
"Software Engineer , Business Analyst",.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
"Software Engineer , Team Lead",agile methodologies|angularjs|architecture|architectures|asp|bootstrap|business intelligence|c++|cloud computing|css|data center|data center architecture|databases|enterprise architecture|enterprise software|eslint|grunt|gulp|html|integration|it management|it service management|it strategy|itil|java|java enterprise edition|javascript|jquery|linux|management|microsoft sql server|mongodb|node|npm|objective-c|oracle|postgresql|program management|requirements analysis|sdlc|shell scripting|soa|software development|software engineering|software project management|solaris|solution architecture|spring|system architecture|uml|unix|virtualization|vuejs|web development|webpack|xml|xsl|xslt
Software Engineering Consultant,.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
Solution Manager - Deputy Manager,Android|IOS|MS Office|Outlook|Windows
Sr Software Engineer,Backbone.js|EJS|Electron|Express.js|Git|HBS|JQX Widgets|Jade|Java|JavaScript|Jest|Linux|Mocha|MongoDB|MySQL|NestJS|NoSQL|NodeJS|Nunjucks|PostgreSQL|Postman|REST APIs|SQL|Selenium|Spring Boot|TypeScript
Sr. Branch Manager,MS- CIT|Typing
Sr. Developer,ADO.NET|ASP.NET|ASP.NET Core|Angular|C#|CSS|Entity Framework|Git|HTML5|IIS|Java Script|MVC-Core|Microsoft Azure|MySQL|Restful API|SQL Server|Visual Studio|Web Services
Sr. Java Developer,apache ant|apache struts|framework|hibernate|html|j2ee|java|javascript|jquery|jsp|soap|spring|spring mvc|uml|xml
"Sr. Java,Angular Developer",apache ant|apache struts|framework|hibernate|html|j2ee|java|javascript|jquery|jsp|soap|spring|spring mvc|uml|xml
Sr. PHP Developer,Ajax|Bootstrap|CSS|Docker|Git|Go lang|HTML|Javascript|Laravel|MongoDb|MySQL|PHP|jQuery
Sr. Software Developer,Ajax|Bootstrap|CSS|Docker|Git|Go lang|HTML|Javascript|Laravel|MongoDb|MySQL|PHP|jQuery
Sr. Software Engineer,AWS|Agile Methodology|Ajax|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Bitbucket|C#|C-panel|CSS|Codeigniter|Django|Docker|Drupal-7|Entity Framework|Express Js|Gin|Git|Golang|GraphQL API|HTML|JavaScript|Json|LINQ|MVC-5|Microservices|MongoDB|MySql|NodeJs|OOPS|PHP|Postgresql|Python|SQL Server|SVN|Strapi|Webservices|jQuery
"Sr. Software Engineer , Consultant",agile methodologies|angularjs|architecture|architectures|asp|bootstrap|business intelligence|c++|cloud computing|css|data center|data center architecture|databases|enterprise architecture|enterprise software|eslint|grunt|gulp|html|integration|it management|it service management|it strategy|itil|java|java enterprise edition|javascript|jquery|linux|management|microsoft sql server|mongodb|node|npm|objective-c|oracle|postgresql|program management|requirements analysis|sdlc|shell scripting|soa|software development|software engineering|software project management|solaris|solution architecture|spring|system architecture|uml|unix|virtualization|vuejs|web development|webpack|xml|xsl|xslt
"Sr. Software Engineer , Manager",agile methodologies|angularjs|architecture|architectures|asp|bootstrap|business intelligence|c++|cloud computing|css|data center|data center architecture|databases|enterprise architecture|enterprise software|eslint|grunt|gulp|html|integration|it management|it service management|it strategy|itil|java|java enterprise edition|javascript|jquery|linux|management|microsoft sql server|mongodb|node|npm|objective-c|oracle|postgresql|program management|requirements analysis|sdlc|shell scripting|soa|software development|software engineering|software project management|solaris|solution architecture|spring|system architecture|uml|unix|virtualization|vuejs|web development|webpack|xml|xsl|xslt
Sr. Software Engineer L1,Agile Methodology|Ajax|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Bitbucket|C#|CSS|Entity Framework|Git|GraphQL API|HTML|JavaScript|Json|LINQ|MVC-5|Microservices|MongoDB|OOPS|SQL Server|SVN|Webservices|jQuery
Sr. Software Engineer L3,Agile Methodology|Ajax|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Bitbucket|C#|CSS|Entity Framework|Git|GraphQL API|HTML|JavaScript|Json|LINQ|MVC-5|Microservices|MongoDB|OOPS|SQL Server|SVN|Webservices|jQuery
Sr. Software Engineer L5,Agile Methodology|Ajax|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Bitbucket|C#|CSS|Entity Framework|Git|GraphQL API|HTML|JavaScript|Json|LINQ|MVC-5|Microservices|MongoDB|OOPS|SQL Server|SVN|Webservices|jQuery
Staff Engineer,.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
Staff Engineer-Golang,AEROSPIKE|AWS|Angular 5+|CSS|Circle CI|Core-java|DOCKER|Go testing Module|Golang|HTML|JS|Jenkins|KAFKA|Linux|MONGO DB|MySQL|NodeJS|PostgresSQL|REDIS|RedHat Ansible|Swagger
Student,access control|active directory|alienvault|amazon web services|ccna|cisco|cisco certifications|cyber security|data centers|devops|eigrp|fireeye|firewall|hardware|ibm qradar|ids/ips|information security|installation|ip|it security|java|kali linux|lan|linux|malware analysis|metasploit|microsoft windows|nessus|network|network management|network operations|network security|networking|nist sp 800 series|nmap|osi|ospf|owasp|palo alto|penetration testing|python|risk assessment|routing|routing protocols|security|security analysis|security controls|security engineering|security onion|security+ ce|siem|software|splunk|subnetwork|switches|system security|tcp/ip|virtualbox|vmware|wan|wireshark
Systems Engineer,Cisco Routing & Switching|Data Center Management|Palo Alto / F5|Project Management|RHEL/CentOS 6/7|Storage & Virtualization|Systems & Network Security|Windows Server Platforms
Teacher,Adaptive & Flexible|Leadership|Ms-Excel|Ms-Word|Recruitment & Selection|Team Building|Time Management
Telemedicine Integration,AWS|BERT|Beautiful Soup|C/C++|CSS|Classification|Clustering|Django|Docker|Excel|Flask|Gensim|Git|GitHub|Google Colab|HTML|Hugging Face|Inception|Jupyter Notebook|Keras|Matplotlib|MongoDB|MySQL|NLTK|NumPy|OpenCV|Pandas|PostgreSQL|Power BI|PyCharm|PyTorch|Python|Regression|Requests|ResNet|SciPy|Scikit-learn|Scrapy|Seaborn|Selenium|Streamlit|Tableau|TensorFlow|Time Series Analysis|Transformers|VGG|VSCode|Word Embedding|Word2Vec
Territory Manager,Audit compliance|Bank liaisoning|DC verification|Expense management|Internet|MS Office|Relationship management
Trainee,AngularJS|Cloud Infrastructure|Docker|Elasticsearch|Facebook Blueprint Certified|Golang|Grafana|Istio|Java|JavaScript|Kubernetes|Microsoft Excel|NGINX|NodeJS|Oracle|Paid Social|Prometheus|REST Api|React|Spring Boot|Team Building|UNIX|VueJS
Trainee Engineer,AWS|Bag of Words|Data Analysis|Deep Learning|Flask|Keras|Machine Learning|Matplotlib|MongoDB|MySQL|NLTK|Numpy|Pandas|PosgreSQL|PyTorch|Python|SQL|Sci-py|Scikit-learn|Seaborn|TF-IDF|TensorFlow|Word2Vec
php Developer,Ajax|Bootstrap|CSS|Docker|Git|Go lang|HTML|Javascript|Laravel|MongoDb|MySQL|PHP|jQuery
php Trainee,Ajax|Bootstrap|CSS|Docker|Git|Go lang|HTML|Javascript|Laravel|MongoDb|MySQL|PHP|jQuery
